"","ctime","intertime","cwma","ratecat"
"1056",1396841760,360,766.451612903226,"m"
"1057",1396842000,240,733.548387096774,"m"
"1058",1396843200,1200,714.193548387097,"m"
"1059",1396846800,3600,822.58064516129,"h"
"1060",1396846860,60,814.838709677419,"m"
"1061",1396848480,1620,780,"h"
"1062",1396848600,120,754.838709677419,"m"
"1063",1396854300,5700,938.709677419355,"h"
"1064",1396857300,3000,1035.48387096774,"h"
"1065",1396857600,300,1035.48387096774,"m"
"1066",1396859400,1800,1085.8064516129,"h"
"1067",1396859700,300,958.064516129032,"m"
"1068",1396860840,1140,975.483870967742,"m"
"1069",1396861200,360,971.612903225806,"m"
"1070",1396861320,120,932.903225806452,"m"
"1071",1396864800,3480,1045.16129032258,"h"
"1072",1396866600,1800,1103.22580645161,"h"
"1073",1396870200,3600,1219.35483870968,"h"
"1074",1396870200,0,1178.70967741935,"l"
"1075",1396872000,1800,1219.35483870968,"h"
"1076",1396872000,0,1161.29032258065,"l"
"1077",1396872000,0,1103.22580645161,"l"
"1078",1396872000,0,1103.22580645161,"l"
"1079",1396873800,1800,1161.29032258065,"h"
"1080",1396873800,0,1153.54838709677,"l"
"1081",1396874700,900,1151.61290322581,"m"
"1082",1396875000,300,1141.93548387097,"m"
"1083",1396875600,600,1161.29032258065,"m"
"1084",1396875600,0,1122.58064516129,"l"
"1085",1396877100,1500,1170.96774193548,"h"
"1086",1396878000,900,1180.64516129032,"m"
"1087",1396878300,300,1178.70967741935,"m"
"1088",1396878300,0,1170.96774193548,"l"
"1089",1396878300,0,1132.25806451613,"l"
"1090",1396879200,900,1045.16129032258,"m"
"1091",1396880100,900,1072.25806451613,"m"
"1092",1396880400,300,1029.67741935484,"m"
"1093",1396881900,1500,1074.1935483871,"h"
"1094",1396882800,900,919.354838709677,"m"
"1095",1396882800,0,822.58064516129,"l"
"1096",1396882800,0,812.903225806452,"l"
"1097",1396886400,3600,870.967741935484,"h"
"1098",1396886400,0,861.290322580645,"l"
"1099",1396887360,960,855.483870967742,"m"
"1100",1396888200,840,870.967741935484,"m"
"1101",1396888200,0,867.096774193548,"l"
"1102",1396889880,1680,809.032258064516,"h"
"1103",1396890000,120,754.838709677419,"m"
"1104",1396891200,1200,677.41935483871,"m"
"1105",1396891380,180,683.225806451613,"m"
"1106",1396891800,420,638.709677419355,"m"
"1107",1396892400,600,658.064516129032,"m"
"1108",1396893600,1200,696.774193548387,"m"
"1109",1396894560,960,727.741935483871,"m"
"1110",1396897200,2640,754.838709677419,"h"
"1111",1396897200,0,754.838709677419,"l"
"1112",1396897200,0,725.806451612903,"l"
"1113",1396897200,0,716.129032258065,"l"
"1114",1396898400,1200,735.483870967742,"m"
"1115",1396898908,508,751.870967741935,"m"
"1116",1396899000,92,706.451612903226,"m"
"1117",1396899900,900,706.451612903226,"m"
"1118",1396900800,900,725.806451612903,"m"
"1119",1396900800,0,725.806451612903,"l"
"1120",1396901700,900,754.838709677419,"m"
"1121",1396902600,900,754.838709677419,"m"
"1122",1396903800,1200,764.516129032258,"m"
"1123",1396905600,1800,812.903225806452,"h"
"1124",1396908480,2880,857.41935483871,"h"
"1125",1396909800,1320,870.967741935484,"h"
"1126",1396909800,0,870.967741935484,"l"
"1127",1396909800,0,870.967741935484,"l"
"1128",1396910700,900,783.870967741935,"m"
"1129",1396912200,1500,832.258064516129,"h"
"1130",1396913400,1200,840,"m"
"1131",1396914300,900,841.935483870968,"m"
"1132",1396914540,240,849.677419354839,"m"
"1133",1396915200,660,816.774193548387,"m"
"1134",1396915200,0,812.903225806452,"l"
"1135",1396915200,0,774.193548387097,"l"
"1136",1396915260,60,770.322580645161,"m"
"1137",1396916100,840,783.870967741935,"m"
"1138",1396917000,900,793.548387096774,"m"
"1139",1396918620,1620,807.096774193548,"h"
"1140",1396918800,180,781.935483870968,"m"
"1141",1396920360,1560,747.096774193548,"h"
"1142",1396921200,840,774.193548387097,"m"
"1143",1396921800,600,793.548387096774,"m"
"1144",1396922400,600,812.903225806452,"m"
"1145",1396923000,600,793.548387096774,"m"
"1146",1396923420,420,790.709677419355,"m"
"1147",1396924200,780,812.903225806452,"m"
"1148",1396925400,1200,822.58064516129,"m"
"1149",1396926000,600,812.903225806452,"m"
"1150",1396926000,0,812.903225806452,"l"
"1151",1396926000,0,783.870967741935,"l"
"1152",1396926000,0,754.838709677419,"l"
"1153",1396926000,0,716.129032258065,"l"
"1154",1396927200,1200,696.774193548387,"m"
"1155",1396929600,2400,681.290322580645,"h"
"1156",1396933200,3600,754.838709677419,"h"
"1157",1396933260,60,756.774193548387,"m"
"1158",1396935180,1920,818.709677419355,"h"
"1159",1396936800,1620,841.935483870968,"h"
"1160",1396939020,2220,865.161290322581,"h"
"1161",1396939500,480,841.935483870968,"m"
"1162",1396945339,5839,1001.25806451613,"h"
"1163",1396951200,5861,1182.58064516129,"h"
"1164",1396952700,1500,1209.67741935484,"h"
"1165",1396954800,2100,1277.41935483871,"h"
"1166",1396958400,3600,1393.54838709677,"h"
"1167",1396958400,0,1391.61290322581,"l"
"1168",1396959600,1200,1403.22580645161,"m"
"1169",1396960200,600,1393.54838709677,"m"
"1170",1396960200,0,1341.29032258065,"l"
"1171",1396960980,780,1360.64516129032,"m"
"1172",1396962000,1020,1343.22580645161,"m"
"1173",1396962000,0,1316.12903225806,"l"
"1174",1396963800,1800,1354.83870967742,"h"
"1175",1396964700,900,1364.51612903226,"m"
"1176",1396965600,900,1374.1935483871,"m"
"1177",1396965600,0,1360.64516129032,"l"
"1178",1396966140,540,1352.90322580645,"m"
"1179",1396967400,1260,1354.83870967742,"h"
"1180",1396967580,180,1341.29032258065,"m"
"1181",1396968000,420,1354.83870967742,"m"
"1182",1396969200,1200,1393.54838709677,"m"
"1183",1396969200,0,1393.54838709677,"l"
"1184",1396969200,0,1393.54838709677,"l"
"1185",1396970400,1200,1393.54838709677,"m"
"1186",1396970580,180,1321.93548387097,"m"
"1187",1396971000,420,1219.35483870968,"m"
"1188",1396971300,300,1227.09677419355,"m"
"1189",1396971900,600,1184.51612903226,"m"
"1190",1396972800,900,1161.29032258065,"m"
"1191",1396972800,0,1089.67741935484,"l"
"1192",1396974000,1200,1112.90322580645,"m"
"1193",1396974000,0,924.548387096774,"l"
"1194",1396976400,2400,812.903225806452,"h"
"1195",1396976400,0,764.516129032258,"l"
"1196",1396978200,1800,754.838709677419,"h"
"1197",1396980000,1800,696.774193548387,"h"
"1198",1396980000,0,696.774193548387,"l"
"1199",1396980540,540,675.483870967742,"m"
"1200",1396981440,900,685.161290322581,"m"
"1201",1396981440,0,685.161290322581,"l"
"1202",1396981800,360,671.612903225806,"m"
"1203",1396982700,900,667.741935483871,"m"
"1204",1396984500,1800,725.806451612903,"h"
"1205",1396984680,180,673.548387096774,"m"
"1206",1396985100,420,658.064516129032,"m"
"1207",1396985400,300,638.709677419355,"m"
"1208",1396985640,240,646.451612903226,"m"
"1209",1396987042,1402,674.258064516129,"h"
"1210",1396987200,158,638.709677419355,"m"
"1211",1396987200,0,632.903225806452,"l"
"1212",1396987200,0,619.354838709677,"l"
"1213",1396987200,0,580.645161290323,"l"
"1214",1396987200,0,580.645161290323,"l"
"1215",1396987500,300,590.322580645161,"m"
"1216",1396987800,300,561.290322580645,"m"
"1217",1396988700,900,584.516129032258,"m"
"1218",1396990800,2100,638.709677419355,"h"
"1219",1396992600,1800,687.096774193548,"h"
"1220",1396992600,0,667.741935483871,"l"
"1221",1396992600,0,638.709677419355,"l"
"1222",1396993500,900,667.741935483871,"m"
"1223",1396996200,2700,716.129032258065,"h"
"1224",1396997100,900,745.161290322581,"m"
"1225",1396998000,900,696.774193548387,"m"
"1226",1396998900,900,725.806451612903,"m"
"1227",1396999500,600,687.096774193548,"m"
"1228",1396999800,300,638.709677419355,"m"
"1229",1396999800,0,638.709677419355,"l"
"1230",1396999980,180,627.096774193548,"m"
"1231",1397001060,1080,632.903225806452,"m"
"1232",1397001240,180,638.709677419355,"m"
"1233",1397001600,360,638.709677419355,"m"
"1234",1397001600,0,609.677419354839,"l"
"1235",1397001600,0,551.612903225806,"l"
"1236",1397002500,900,574.838709677419,"m"
"1237",1397003400,900,590.322580645161,"m"
"1238",1397005200,1800,638.709677419355,"h"
"1239",1397005200,0,630.967741935484,"l"
"1240",1397005200,0,585.741935483871,"l"
"1241",1397005800,600,600,"m"
"1242",1397007000,1200,638.709677419355,"m"
"1243",1397008800,1800,696.774193548387,"h"
"1244",1397008800,0,696.774193548387,"l"
"1245",1397008800,0,696.774193548387,"l"
"1246",1397008800,0,687.096774193548,"l"
"1247",1397009100,300,687.096774193548,"m"
"1248",1397010600,1500,706.451612903226,"h"
"1249",1397010600,0,638.709677419355,"l"
"1250",1397010600,0,580.645161290323,"l"
"1251",1397011620,1020,613.548387096774,"m"
"1252",1397012400,780,638.709677419355,"m"
"1253",1397012400,0,609.677419354839,"l"
"1254",1397012400,0,522.58064516129,"l"
"1255",1397014200,1800,551.612903225806,"h"
"1256",1397014200,0,522.58064516129,"l"
"1257",1397015100,900,522.58064516129,"m"
"1258",1397016000,900,532.258064516129,"m"
"1259",1397016360,360,534.193548387097,"m"
"1260",1397017800,1440,580.645161290323,"h"
"1261",1397018100,300,584.516129032258,"m"
"1262",1397021400,3300,656.129032258065,"h"
"1263",1397022300,900,679.354838709677,"m"
"1264",1397023200,900,696.774193548387,"m"
"1265",1397027880,4680,847.741935483871,"h"
"1266",1397032200,4320,987.096774193548,"h"
"1267",1397043900,11700,1335.48387096774,"h"
"1268",1397044800,900,1335.48387096774,"m"
"1269",1397045700,900,1306.45161290323,"m"
"1270",1397048400,2700,1393.54838709677,"h"
"1271",1397048400,0,1393.54838709677,"l"
"1272",1397049000,600,1393.54838709677,"m"
"1273",1397049000,0,1354.83870967742,"l"
"1274",1397052000,3000,1393.54838709677,"h"
"1275",1397052000,0,1393.54838709677,"l"
"1276",1397052000,0,1393.54838709677,"l"
"1277",1397052000,0,1393.54838709677,"l"
"1278",1397052900,900,1412.90322580645,"m"
"1279",1397053800,900,1393.54838709677,"m"
"1280",1397053800,0,1393.54838709677,"l"
"1281",1397053800,0,1393.54838709677,"l"
"1282",1397054700,900,1389.67741935484,"m"
"1283",1397057400,2700,1451.61290322581,"h"
"1284",1397058300,900,1480.64516129032,"m"
"1285",1397058900,600,1500,"m"
"1286",1397061000,2100,1509.67741935484,"h"
"1287",1397061000,0,1509.67741935484,"l"
"1288",1397062200,1200,1519.35483870968,"m"
"1289",1397062200,0,1490.32258064516,"l"
"1290",1397062800,600,1498.06451612903,"m"
"1291",1397062800,0,1451.61290322581,"l"
"1292",1397062800,0,1441.93548387097,"l"
"1293",1397062800,0,1335.48387096774,"l"
"1294",1397063400,600,1325.8064516129,"m"
"1295",1397064000,600,1316.12903225806,"m"
"1296",1397064600,600,1184.51612903226,"m"
"1297",1397064600,0,1045.16129032258,"l"
"1298",1397065800,1200,706.451612903226,"m"
"1299",1397066100,300,687.096774193548,"m"
"1300",1397066100,0,658.064516129032,"l"
"1301",1397066220,120,574.838709677419,"m"
"1302",1397066400,180,580.645161290323,"m"
"1303",1397066400,0,561.290322580645,"l"
"1304",1397068020,1620,613.548387096774,"h"
"1305",1397068200,180,522.58064516129,"m"
"1306",1397068200,0,522.58064516129,"l"
"1307",1397068200,0,522.58064516129,"l"
"1308",1397070000,1800,580.645161290323,"h"
"1309",1397071800,1800,609.677419354839,"h"
"1310",1397073600,1800,638.709677419355,"h"
"1311",1397073600,0,638.709677419355,"l"
"1312",1397073600,0,638.709677419355,"l"
"1313",1397074200,600,629.032258064516,"m"
"1314",1397075400,1200,580.645161290323,"m"
"1315",1397076120,720,574.838709677419,"m"
"1316",1397079000,2880,648.387096774194,"h"
"1317",1397079000,0,580.645161290323,"l"
"1318",1397080200,1200,619.354838709677,"m"
"1319",1397080200,0,580.645161290323,"l"
"1320",1397080800,600,600,"m"
"1321",1397080800,0,580.645161290323,"l"
"1322",1397080800,0,580.645161290323,"l"
"1323",1397080800,0,580.645161290323,"l"
"1324",1397080800,0,580.645161290323,"l"
"1325",1397081100,300,570.967741935484,"m"
"1326",1397081100,0,551.612903225806,"l"
"1327",1397081700,600,551.612903225806,"m"
"1328",1397082600,900,580.645161290323,"m"
"1329",1397082600,0,541.935483870968,"l"
"1330",1397083200,600,551.612903225806,"m"
"1331",1397083800,600,570.967741935484,"m"
"1332",1397084400,600,586.451612903226,"m"
"1333",1397084760,360,592.258064516129,"m"
"1334",1397085600,840,619.354838709677,"m"
"1335",1397086200,600,586.451612903226,"m"
"1336",1397087040,840,607.741935483871,"m"
"1337",1397088000,960,638.709677419355,"m"
"1338",1397088000,0,638.709677419355,"l"
"1339",1397088900,900,609.677419354839,"m"
"1340",1397091600,2700,638.709677419355,"h"
"1341",1397093400,1800,638.709677419355,"h"
"1342",1397093400,0,638.709677419355,"l"
"1343",1397093400,0,638.709677419355,"l"
"1344",1397093400,0,619.354838709677,"l"
"1345",1397093400,0,580.645161290323,"l"
"1346",1397093400,0,557.41935483871,"l"
"1347",1397093700,300,474.193548387097,"m"
"1348",1397094300,600,493.548387096774,"m"
"1349",1397094600,300,464.516129032258,"m"
"1350",1397095200,600,483.870967741935,"m"
"1351",1397095620,420,478.064516129032,"m"
"1352",1397097000,1380,522.58064516129,"h"
"1353",1397097600,600,541.935483870968,"m"
"1354",1397098800,1200,580.645161290323,"m"
"1355",1397098800,0,580.645161290323,"l"
"1356",1397100600,1800,629.032258064516,"h"
"1357",1397101200,600,648.387096774194,"m"
"1358",1397102400,1200,667.741935483871,"m"
"1359",1397102760,360,650.322580645161,"m"
"1360",1397103900,1140,687.096774193548,"m"
"1361",1397107560,3660,785.806451612903,"h"
"1362",1397107800,240,774.193548387097,"m"
"1363",1397111700,3900,880.645161290323,"h"
"1364",1397116800,5100,1033.54838709677,"h"
"1365",1397133900,17100,1558.06451612903,"h"
"1366",1397134800,900,1567.74193548387,"m"
"1367",1397134800,0,1540.64516129032,"l"
"1368",1397138400,3600,1625.8064516129,"h"
"1369",1397138400,0,1625.8064516129,"l"
"1370",1397138400,0,1596.77419354839,"l"
"1371",1397141400,3000,1606.45161290323,"h"
"1372",1397142000,600,1567.74193548387,"m"
"1373",1397143800,1800,1625.8064516129,"h"
"1374",1397145600,1800,1683.87096774194,"h"
"1375",1397145600,0,1683.87096774194,"l"
"1376",1397145600,0,1683.87096774194,"l"
"1377",1397148300,2700,1770.96774193548,"h"
"1378",1397148840,540,1778.70967741935,"m"
"1379",1397149200,360,1770.96774193548,"m"
"1380",1397149200,0,1761.29032258065,"l"
"1381",1397149200,0,1741.93548387097,"l"
"1382",1397149200,0,1728.38709677419,"l"
"1383",1397152500,3300,1790.32258064516,"h"
"1384",1397152860,360,1782.58064516129,"m"
"1385",1397154600,1740,1800,"h"
"1386",1397154720,120,1803.87096774194,"m"
"1387",1397156400,1680,1800,"h"
"1388",1397158200,1800,1838.70967741935,"h"
"1389",1397159100,900,1829.03225806452,"m"
"1390",1397160900,1800,1875.48387096774,"h"
"1391",1397160960,60,1840.64516129032,"m"
"1392",1397161800,840,1749.67741935484,"m"
"1393",1397161800,0,1741.93548387097,"l"
"1394",1397162100,300,1625.8064516129,"m"
"1395",1397163000,900,1490.32258064516,"m"
"1396",1397163600,600,958.064516129032,"m"
"1397",1397164800,1200,967.741935483871,"m"
"1398",1397167200,2400,1045.16129032258,"h"
"1399",1397167200,0,929.032258064516,"l"
"1400",1397167200,0,929.032258064516,"l"
"1401",1397167200,0,929.032258064516,"l"
"1402",1397168100,900,861.290322580645,"m"
"1403",1397169000,900,870.967741935484,"m"
"1404",1397169000,0,812.903225806452,"l"
"1405",1397169600,600,774.193548387097,"m"
"1406",1397170800,1200,812.903225806452,"m"
"1407",1397170800,0,812.903225806452,"l"
"1408",1397170800,0,725.806451612903,"l"
"1409",1397171880,1080,743.225806451613,"m"
"1410",1397172600,720,754.838709677419,"m"
"1411",1397172600,0,754.838709677419,"l"
"1412",1397172600,0,754.838709677419,"l"
"1413",1397172600,0,754.838709677419,"l"
"1414",1397172600,0,648.387096774194,"l"
"1415",1397174400,1800,694.838709677419,"h"
"1416",1397177400,3000,735.483870967742,"h"
"1417",1397178000,600,750.967741935484,"m"
"1418",1397179200,1200,735.483870967742,"m"
"1419",1397179800,600,696.774193548387,"m"
"1420",1397179800,0,667.741935483871,"l"
"1421",1397180400,600,629.032258064516,"m"
"1422",1397180580,180,632.903225806452,"m"
"1423",1397181600,1020,638.709677419355,"m"
"1424",1397181600,0,638.709677419355,"l"
"1425",1397181600,0,629.032258064516,"l"
"1426",1397181900,300,609.677419354839,"m"
"1427",1397182140,240,598.064516129032,"m"
"1428",1397182200,60,561.290322580645,"m"
"1429",1397182860,660,505.161290322581,"m"
"1430",1397183700,840,532.258064516129,"m"
"1431",1397185200,1500,580.645161290323,"h"
"1432",1397185200,0,580.645161290323,"l"
"1433",1397185200,0,551.612903225806,"l"
"1434",1397185200,0,522.58064516129,"l"
"1435",1397185500,300,532.258064516129,"m"
"1436",1397186400,900,541.935483870968,"m"
"1437",1397187600,1200,541.935483870968,"m"
"1438",1397188800,1200,580.645161290323,"m"
"1439",1397188800,0,580.645161290323,"l"
"1440",1397189040,240,553.548387096774,"m"
"1441",1397189700,660,551.612903225806,"m"
"1442",1397190540,840,578.709677419355,"m"
"1443",1397190600,60,580.645161290323,"m"
"1444",1397191980,1380,625.161290322581,"h"
"1445",1397193600,1620,677.41935483871,"h"
"1446",1397194800,1200,658.064516129032,"m"
"1447",1397196000,1200,600,"m"
"1448",1397196000,0,580.645161290323,"l"
"1449",1397196060,60,543.870967741935,"m"
"1450",1397197020,960,555.483870967742,"m"
"1451",1397199000,1980,619.354838709677,"h"
"1452",1397199600,600,619.354838709677,"m"
"1453",1397203200,3600,729.677419354839,"h"
"1454",1397203320,120,700.645161290323,"m"
"1455",1397204340,1020,733.548387096774,"m"
"1456",1397208960,4620,882.58064516129,"h"
"1457",1397212200,3240,977.41935483871,"h"
"1458",1397214000,1800,1027.74193548387,"h"
"1459",1397214000,0,1025.8064516129,"l"
"1460",1397214900,900,1033.54838709677,"m"
"1461",1397216700,1800,1064.51612903226,"h"
"1462",1397216820,120,1020,"m"
"1463",1397219400,2580,1103.22580645161,"h"
"1464",1397223000,3600,1219.35483870968,"h"
"1465",1397223000,0,1219.35483870968,"l"
"1466",1397223000,0,1209.67741935484,"l"
"1467",1397224800,1800,1238.70967741935,"h"
"1468",1397225100,300,1209.67741935484,"m"
"1469",1397225820,720,1194.1935483871,"m"
"1470",1397227800,1980,1258.06451612903,"h"
"1471",1397227920,120,1254.1935483871,"m"
"1472",1397229000,1080,1267.74193548387,"m"
"1473",1397229600,600,1260,"m"
"1474",1397230200,600,1277.41935483871,"m"
"1475",1397230800,600,1252.25806451613,"m"
"1476",1397231100,300,1209.67741935484,"m"
"1477",1397231160,60,1172.90322580645,"m"
"1478",1397232780,1620,1186.45161290323,"h"
"1479",1397233080,300,1196.12903225806,"m"
"1480",1397235600,2520,1275.48387096774,"h"
"1481",1397239200,3600,1360.64516129032,"h"
"1482",1397242800,3600,1412.90322580645,"h"
"1483",1397242800,0,1393.54838709677,"l"
"1484",1397242800,0,1277.41935483871,"l"
"1485",1397246400,3600,1389.67741935484,"h"
"1486",1397250000,3600,1472.90322580645,"h"
"1487",1397251500,1500,1372.25806451613,"h"
"1488",1397251800,300,1277.41935483871,"m"
"1489",1397253600,1800,1277.41935483871,"h"
"1490",1397255400,1800,1335.48387096774,"h"
"1491",1397255400,0,1306.45161290323,"l"
"1492",1397255400,0,1248.38709677419,"l"
"1493",1397256300,900,1273.54838709677,"m"
"1494",1397257200,900,1219.35483870968,"m"
"1495",1397258100,900,1132.25806451613,"m"
"1496",1397260800,2700,1219.35483870968,"h"
"1497",1397262600,1800,1277.41935483871,"h"
"1498",1397264400,1800,1277.41935483871,"h"
"1499",1397264400,0,1267.74193548387,"l"
"1500",1397264400,0,1244.51612903226,"l"
"1501",1397264400,0,1180.64516129032,"l"
"1502",1397266200,1800,1234.83870967742,"h"
"1503",1397267700,1500,1248.38709677419,"h"
"1504",1397267760,60,1230.96774193548,"m"
"1505",1397268000,240,1219.35483870968,"m"
"1506",1397268000,0,1200,"l"
"1507",1397268000,0,1190.32258064516,"l"
"1508",1397269800,1800,1246.45161290323,"h"
"1509",1397269800,0,1194.1935483871,"l"
"1510",1397269800,0,1184.51612903226,"l"
"1511",1397269800,0,1103.22580645161,"l"
"1512",1397273160,3360,1095.48387096774,"h"
"1513",1397273400,240,987.096774193548,"m"
"1514",1397273700,300,996.774193548387,"m"
"1515",1397277000,3300,1103.22580645161,"h"
"1516",1397278200,1200,1025.8064516129,"m"
"1517",1397278860,660,930.967741935484,"m"
"1518",1397280300,1440,929.032258064516,"h"
"1519",1397280600,300,929.032258064516,"m"
"1520",1397280960,360,882.58064516129,"m"
"1521",1397281800,840,851.612903225806,"m"
"1522",1397282400,600,870.967741935484,"m"
"1523",1397284020,1620,923.225806451613,"h"
"1524",1397285820,1800,952.258064516129,"h"
"1525",1397286000,180,929.032258064516,"m"
"1526",1397286000,0,900,"l"
"1527",1397287500,1500,861.290322580645,"h"
"1528",1397287680,180,809.032258064516,"m"
"1529",1397287800,120,754.838709677419,"m"
"1530",1397287800,0,754.838709677419,"l"
"1531",1397288580,780,780,"m"
"1532",1397289300,720,803.225806451613,"m"
"1533",1397291400,2100,812.903225806452,"h"
"1534",1397292600,1200,803.225806451613,"m"
"1535",1397292780,180,807.096774193548,"m"
"1536",1397294700,1920,861.290322580645,"h"
"1537",1397294700,0,861.290322580645,"l"
"1538",1397296800,2100,929.032258064516,"h"
"1539",1397297880,1080,905.806451612903,"m"
"1540",1397299200,1320,948.387096774194,"h"
"1541",1397300400,1200,987.096774193548,"m"
"1542",1397307540,7140,1217.41935483871,"h"
"1543",1397310300,2760,1198.06451612903,"h"
"1544",1397311200,900,1219.35483870968,"m"
"1545",1397312100,900,1238.70967741935,"m"
"1546",1397313000,900,1161.29032258065,"m"
"1547",1397313600,600,1141.93548387097,"m"
"1548",1397315700,2100,1188.38709677419,"h"
"1549",1397316600,900,1170.96774193548,"m"
"1550",1397316600,0,1161.29032258065,"l"
"1551",1397321700,5100,1314.1935483871,"h"
"1552",1397322180,480,1302.58064516129,"m"
"1553",1397325600,3420,1393.54838709677,"h"
"1554",1397326500,900,1370.32258064516,"m"
"1555",1397327400,900,1341.29032258065,"m"
"1556",1397328120,720,1358.70967741935,"m"
"1557",1397328300,180,1364.51612903226,"m"
"1558",1397330100,1800,1374.1935483871,"h"
"1559",1397333700,3600,1484.51612903226,"h"
"1560",1397335620,1920,1542.58064516129,"h"
"1561",1397336400,780,1567.74193548387,"m"
"1562",1397336700,300,1552.25806451613,"m"
"1563",1397338200,1500,1577.41935483871,"h"
"1564",1397338200,0,1509.67741935484,"l"
"1565",1397340000,1800,1529.03225806452,"h"
"1566",1397343600,3600,1639.35483870968,"h"
"1567",1397344500,900,1606.45161290323,"m"
"1568",1397345400,900,1635.48387096774,"m"
"1569",1397348400,3000,1664.51612903226,"h"
"1570",1397348880,480,1645.16129032258,"m"
"1571",1397351700,2820,1693.54838709677,"h"
"1572",1397352600,900,1683.87096774194,"m"
"1573",1397353200,600,1472.90322580645,"m"
"1574",1397355000,1800,1441.93548387097,"h"
"1575",1397356380,1380,1457.41935483871,"h"
"1576",1397358000,1620,1480.64516129032,"h"
"1577",1397358600,600,1470.96774193548,"m"
"1578",1397359800,1200,1490.32258064516,"m"
"1579",1397361600,1800,1480.64516129032,"h"
"1580",1397363400,1800,1509.67741935484,"h"
